id,author,author_id,author_thumbnail,text,like_count,reply_count,date,is_favorited
UgzjIPXDoGeNbNM7fzR4AaABAg,@aquasaur11,UCNspbcrEL6URuO5rnAkIUbg,https://yt3.ggpht.com/ytc/AIdro_mbOcv7t7mrHZUSfs9POcOcCj3FrNaUc2Yv4S_vxgOo2A=s88-c-k-c0x00ffffff-no-rj,솔직히 제목에 scp라는 단어만 없으면 scp재단 세계관과 전혀 상관없는 몽환적인 초현실주의 다큐멘터리영화를 보는 기분이었습니다.,1,0,2026-05-23 09:00:00,False
UgzaI8pWrW5YDapd9sB4AaABAg,@Calama_Lee,UC5BAGVf1Pe2x_Pa57cFOnbA,https://yt3.ggpht.com/xqkz_db8sKHIpynBQnWfdQ7Mgc8mD4nR3eSshFd_4o_w5D1_79s2KyuMwisXHRQRFQg90I5Nsw=s88-c-k-c0x00ffffff-no-rj,괴기스러움이랑은 별개로 알라가다 분위기가 뭔가 맘에들어요,1,0,2026-05-23 09:00:00,False
Ugyc2-1EseS01_Ns3fh4AaABAg,@mim-009-v8n,UCmSMPgZi-x65ihawzKxNuaA,https://yt3.ggpht.com/3r6sgMU-zjnSw9BrY2Wph0pw7SUsL6JFVIZFzIS5rkrA_8aCGOQtOBQVr1BqxvWgdqUTsIa1Q68=s88-c-k-c0x00ffffff-no-rj,이거 왤케 좋지?이상하게 자꾸 보게됨 뭔가 에반게리온도 생각나고...,1,0,2026-05-23 09:00:00,False
UgyP2_Xq0F6Svy7DwoN4AaABAg,@하얀눈-l1q,UChNWtuxP_2Wg-1S_YMmnnzw,https://yt3.ggpht.com/ytc/AIdro_ljmgPUeea0ivUBVSPLyyBx-c0EKpo3I10iwUaz59aYC5M=s88-c-k-c0x00ffffff-no-rj,형 근데 이거 한국에서만보기아쉬운데 각나라언어로 바꾸면 떡상각인데 힘드실려나ㅜ,1,0,2026-05-23 09:00:00,False
Ugwj81GY7gj9cf1L9sZ4AaABAg,@milialuv3383,UCNh-CirSflyAzhpPbiW3IBQ,https://yt3.ggpht.com/ytc/AIdro_mut5ERvkpI6iwiEFUTlB3Ql1BGapiTDjWYhSHdNMvzMA=s88-c-k-c0x00ffffff-no-rj,알라가다 스토리가 진짜 SCP 세계관의 체계를 본 느낌이라 참 좋음,1,0,2026-04-23 09:00:00,False
UgzK193NyqxZInvxlIp4AaABAg,@유니씨-j2c,UCGom8LjMMKw5tj1D6b4XupA,https://yt3.ggpht.com/ytc/AIdro_mbMLCLhVaqRk8XSXtQDsKgi0en8vl1ffO8zkQvMw8=s88-c-k-c0x00ffffff-no-rj,최고다,0,0,2026-08-22 03:00:00,False
UgxufBEFpV_5kGMAZQh4AaABAg,@glennchoi925,UCHM5pKGeOxxoD0N2KNc4aRQ,https://yt3.ggpht.com/mQicBPugOLBESC0nuyOtvwwb4kAkSOeD-aT1ERxC-d6i1TWL7H2xe6GCsmqJNRuvWx6sHrBuOg=s88-c-k-c0x00ffffff-no-rj,얘네 조류신도임?,0,0,2026-08-21 09:00:00,False
UgyrMkJAvbAocxZxO1Z4AaABAg,@skkzixisjjjzji,UC3yMYs5f1y6HaroFk8KZhJQ,https://yt3.ggpht.com/TjLyk1CrOK4PNZnBfVN_HD6joMbbh_5lFIhc9d-fo5t2bntbMcB5hwwxjaPvdkxnSVbcTeds=s88-c-k-c0x00ffffff-no-rj,이게 이렇게 이어진다고!? 소름 지렸...팬티 또 사야돼,0,0,2026-08-20 09:00:00,False
UgzNwk3qBvvN4Aith3p4AaABAg,@이레이-g1s,UCQbM_9IaobKK0PiX8ib4ZFA,https://yt3.ggpht.com/_B7SCkP7UtkoILtHgTHpw4IPZspcZM1yFuQ1AmLFJROQMimKqIuGWzRPQRTSR_OnMfNO29Rh=s88-c-k-c0x00ffffff-no-rj,알라가다킹VS걸신아귀랑 싸우면누가이김??,0,0,2026-08-15 09:00:00,False
UgzgzXSZwVWhjVnjQHp4AaABAg,@baitbait3209,UCeihGklFoRzEWGiZvXDGvAQ,https://yt3.ggpht.com/ytc/AIdro_nvL3CrxE_TStfBrCN_k2ukAKcw7ciuziZniiOPqhc=s88-c-k-c0x00ffffff-no-rj,보면 볼수록 중세사람이 현대의 대도시들 혹은 근미래의 대도시를 시간여행해와서 구경하면 알라가다처럼 느끼지 않을까 하는 생각,0,0,2026-08-13 09:00:00,False
Ugxo1DBmGLb4mcWmyBl4AaABAg,@Ragearima,UCo3_tZ40tOh-zp3sheMc6ng,https://yt3.ggpht.com/ytc/AIdro_l5QIFGXQTFkgSf-YQNdDt5UyTlgMdVMim4V-YfI227oA=s88-c-k-c0x00ffffff-no-rj,이키스 님. 혹시 츄르나 칠면조 힘줄 드시는지..집 근처에서 까치랑 닭둘기들이 잘 먹던데..,0,0,2026-08-12 09:00:00,False
UgyyQI6tfXKXbYuB8T94AaABAg,@cardiyred,UCatuXhpspXuR6NjAOB8orRQ,https://yt3.ggpht.com/ytc/AIdro_ltBEP_QY8TYpwgSbf1e0kTZfNr1kpoEg61biQltn-Eyz4=s88-c-k-c0x00ffffff-no-rj,이야 댓글을 안 남길 수가 없네 정말 재밌게 봤어요,0,0,2026-08-09 09:00:00,False
UgxAMOWXntF_XFgQHsl4AaABAg,@아가경건,UCSuoRWdnptO0eFHJrDROP5A,https://yt3.ggpht.com/ytc/AIdro_kLAR5qJgus986wbH2t2jW7TcqQVb1QlPYg0AY4hNKx24nX5Ac=s88-c-k-c0x00ffffff-no-rj,"계속 영상을 수정해서 올려주시는 군요!!❤❤
넘 잘 보고 있습니다!",0,0,2026-08-02 09:00:00,False
Ugx7tbPSyh4l8PcN1X94AaABAg,@Hongseogseo,UCAXxJ3q1eeBZ4wqCxJ2ebxQ,https://yt3.ggpht.com/ytc/AIdro_k7vHdNWUrx6AHu8FsdnJAeEIondEQJY_8-n8trU4lxOg4=s88-c-k-c0x00ffffff-no-rj,이걸 기빈으로 영화 실제로 나왔으면 싶네.... 내용이 탄탄 해서 영화로 만들기 좋을껀데..,0,0,2026-08-02 09:00:00,False
UgzJH0cl8N3O-VmxMV94AaABAg,@휘돌이-u4l,UCsKTCTQbOKmyh_88RJbnxDQ,https://yt3.ggpht.com/ava8rgzqAP7d2sp7WyVNTPllz872_EZaPiwzGUP45ksRj-_0Ga-TnvgkyfzAizpiy5s4nHRixQ=s88-c-k-c0x00ffffff-no-rj,유령시티 알라가다 보고 이거 보니까 비교하면서 보는 맛이 있네,0,0,2026-08-02 09:00:00,False
UgxoePMlQfWiTiGCm3F4AaABAg,@따비두,UChQtgk6-3IBWtdxVwcPhHDg,https://yt3.ggpht.com/fsB9-Y9VhkORrp7qJBDq8v0R_no3e_bsflvWxQIIH9L2ZKixCI0kWMZBMCslUXQmwgOC_-dSfPs=s88-c-k-c0x00ffffff-no-rj,태초의 귀매 보니까 SCP 알라가다의 얼굴 없는 왕이 생각난다,0,0,2026-07-23 09:00:00,False
Ugwhmq6f-hGRLpMOpKt4AaABAg,@MrLuminesce,UC1EzEyBZlapy_lRBs2HPSxQ,https://yt3.ggpht.com/ytc/AIdro_mVfxqb35-zA1ylDt5kSbm9lC3NH2GekOGoYSuZyZQ=s88-c-k-c0x00ffffff-no-rj,마블뭐하냐? 수십수백명갈아넣으며 수천억투입해서 만든영화보다 이게더재밌는데? ㅋㅋㅋ 영화사들 나락이 코앞이네..,0,0,2026-07-23 09:00:00,False
Ugw6-5zr5BKt53u61-54AaABAg,@찍찍-j5x,UCJjqR1RoJTUWzMNO66dmAdQ,https://yt3.ggpht.com/ytc/AIdro_kFj5ZwSbS1KIBNql8y54JCTyKVqEGee4q85vsK_So=s88-c-k-c0x00ffffff-no-rj,알라가다 특유의 아트웍과 색감이 진짜 미친듯,0,0,2026-07-23 09:00:00,False
UgwBNPN__NHfC_zp2Zx4AaABAg,@fil-m7i,UCFw2RysjZkBJIcQ4FtD17kw,https://yt3.ggpht.com/agTOCSWleb3B6o1ziBGmf70C5_3Z0VUtE7ZQJGSlHFMZx2ojSZdZWVVp3LTpbFJVhdr9zP8pGA=s88-c-k-c0x00ffffff-no-rj,1678,0,0,2026-07-23 09:00:00,False
UgyxIKqWy3dfYGHemVh4AaABAg,@BaneBlade59,UCKc9mXvQI3KPckO3jpWYjEA,https://yt3.ggpht.com/Eb2hcSoBbioNqOgG2KpIvrbVrg5ptx5iqp04RCE39dTHA0ofJaxRT3UpKv5DNuVWrqw292KX_w=s88-c-k-c0x00ffffff-no-rj,"3:43 ""그 음악"" 입갤ㅋ",0,0,2026-07-23 09:00:00,False
UgwbnfHR6Xe9uc-bY4J4AaABAg,@리스항구-n1y,UCCu71Z08gVbEuNt7USZtcpg,https://yt3.ggpht.com/wjD0Ti0VTwCNDILKEKTEW3ye8qHUF1ZBF8XColyM7-RaBxiChKLH7fRE3mgQgJ1Y6Njc6xWK=s88-c-k-c0x00ffffff-no-rj,이런거보면 외국애들이 판타지적인 요소를 잘만든이유가있네,0,0,2026-07-23 09:00:00,False
UgxTeD9unedgcORnFCt4AaABAg,@아펠스,UCFTAohpLN2ID9WtAePNVX4g,https://yt3.ggpht.com/_dQsBHCUILt-aeTr645cfCvryUaweIu37ydOkf1xuuQCHEVw9eFGdxN90YjFUeIxo-FuX6tI=s88-c-k-c0x00ffffff-no-rj,유독 저거너트 리메이크가 많은 이유(?) 얼굴이 별로일 때마다 수정을 한다,0,0,2026-07-23 09:00:00,False
UgxkvyROJvxkXNqekNt4AaABAg,@로시츠키-j1p,UCq_ZmwV6dSxlrf-EVVosJWQ,https://yt3.ggpht.com/N0brM-1F40bBOv7keGuN0dYMP5ztaa3yWrxFGv_klZuChDs1ngRXelR3yy9P2gKlEo9iZdYh=s88-c-k-c0x00ffffff-no-rj,끌끌되며 x 끌끌대며,0,0,2026-06-23 09:00:00,False
UgyKAup366I7F2ap9CF4AaABAg,@마하세번,UCbqxvDTw-tOGJBxh-K_0pVw,https://yt3.ggpht.com/fXJ-7THfPpDDo38YvJ7Lumjpr4zmXmsKOwcu6rn4wl1nf8IbOQAEd_qwrCXMR7_nIFNYMVCUvQ=s88-c-k-c0x00ffffff-no-rj,가장 기이하고 신비로운 곳.... 알라가다 = 알다가도 모르겠........,0,0,2026-06-23 09:00:00,False
UgwTCJ37lw6N8Etc0mJ4AaABAg,@leeharumusic,UC3ZkivrKVdm0orX7rxkCkWQ,https://yt3.ggpht.com/YfIcaI-TTLwGqA2WxwV5T-7fPFXEFOPayGV6D0xLi8kRpjqhiwi0hPbATnnRX3lzpCkdAvY9=s88-c-k-c0x00ffffff-no-rj,이거 진짜 잘때 틀면 바로 잡니다 진심 2분을 못넘긴거같음..,0,0,2026-06-23 09:00:00,False
UgyDNluqesvU7znGGuJ4AaABAg,@김광득-x6d,UCnPkBDgq-KWuJNNRp1naKEg,https://yt3.ggpht.com/iw4XTt6SBv5UMQ4aBYOyw3_hMjz840H3brO0FbcYsgo7eW1iAFNQFn12aQ1nfAdrm0iWSDS0jNc=s88-c-k-c0x00ffffff-no-rj,소름 ㄷㄷ,0,0,2026-06-23 09:00:00,False
UgzCrSGi1pM6iCDMcSF4AaABAg,@도또리32,UCKK2M6fjIS7YBD7VkCq593g,https://yt3.ggpht.com/ytc/AIdro_lktx-VX86z0okSCdH2lH77yLycRRgg1XysOTTubSmO6W0=s88-c-k-c0x00ffffff-no-rj,나레이션 음성이 바뀐거 같은데 원래 이랬나요?😮,0,0,2026-06-23 09:00:00,False
UgxDUt76K725eKe-2314AaABAg,@꿈꾸는굼벵이-e8r,UCH3LtoF_oKnyVlJCEwQWf0Q,https://yt3.ggpht.com/q6HC6WYTkVornmNYf3Gyf2Af5hc2aHWCx_u9OIMdriqU8XllLaHx6JdWbDk3h1cOerYeZUeF=s88-c-k-c0x00ffffff-no-rj,알라가다 모르것네,0,0,2026-06-23 09:00:00,False
Ugw5-F29CF5aBnZ5lpl4AaABAg,@도리동동-q5z,UCZsQUDTOmxVJ0DqfOnq7R7Q,https://yt3.ggpht.com/ytc/AIdro_lXxLppdIO9hHtf1_XxV1D9c5oxWJdCa7N2JZwrXA9sFQ=s88-c-k-c0x00ffffff-no-rj,"알라가다 견문록이라...
딴 건 모르겠고 까마귀 아조씨 몬가 이상하게 호감이네",0,0,2026-06-23 09:00:00,False
UgyboOE9iqL7ffWcllV4AaABAg,@seydouxs2513,UCVMV92fnOu8oAuHFOAT3Ecg,https://yt3.ggpht.com/ytc/AIdro_kfJ5k_cmJk-noKpsuhq2KpRzctHq7Ka34fJfjCSpQ=s88-c-k-c0x00ffffff-no-rj,맨처음 나오는 노래 뭘까 좋은데,0,0,2026-06-23 09:00:00,False
UgyskzlvFw6cX-8B6GB4AaABAg,@대수김-s8p,UCknfasYKtqrfbQ3eggOVp4A,https://yt3.ggpht.com/ytc/AIdro_nA-V-yA4gAxemuzKb-zWO0r8JXpZlUZ8q1b16B2bgHdmE=s88-c-k-c0x00ffffff-no-rj,몽환적이며 코스믹호러... 좋은작품을 멋지게 표현했습니다,0,0,2026-06-23 09:00:00,True
Ugx_UCgsOP3aNNAAxwV4AaABAg,@Blacksky-x4p,UC51aeo8H6y6dv-AgBVn5IvQ,https://yt3.ggpht.com/Ul3ydOcpyUYLqhr0ogGVTbLciVtDdVBrDskrypx7Bi7CG5AAyKMiOdgFVrFhORaM5vPTA1ZUBQ=s88-c-k-c0x00ffffff-no-rj,계속 보게 되는 영상입니다 고맙습니다 ㅎ,0,0,2026-06-23 09:00:00,False
